Symbol,Date,Open,High,Low,Close,AdjClose,Volume
TSLA,2018-09-10,273.26,286.03,271.0,285.5,19.0333333333,14283528
TSLA,2018-09-11,279.47,282.0,273.55,279.44,18.6293333333,9169989
TSLA,2018-09-12,281.44,292.5,278.65,290.54,19.3693333333,10015427
TSLA,2018-09-13,288.02,295.0,285.18,289.46,19.2973333333,6340336
TSLA,2018-09-14,288.76,297.33,286.52,295.2,19.68,6765612
TSLA,2018-09-17,290.04,300.87,288.13,294.84,19.656,6887577
TSLA,2018-09-18,296.69,302.64,275.5,284.96,18.9973333333,16547522
TSLA,2018-09-19,280.51,300.0,280.5,299.02,19.9346666667,8294917
TSLA,2018-09-20,303.56,305.98,293.33,298.33,19.8886666667,7349422
TSLA,2018-09-21,297.7,300.58,295.37,299.1,19.94,5050478
TSLA,2018-09-24,298.48,303.0,293.58,299.68,19.9786666667,4842961
TSLA,2018-09-25,300.0,304.6,296.5,300.99,20.066,4481729
TSLA,2018-09-26,301.91,313.89,301.11,309.58,20.6386666667,7843216
TSLA,2018-09-27,312.9,314.96,306.91,307.52,20.5013333333,8509084
TSLA,2018-09-28,270.26,278.0,260.56,264.77,17.6513333333,33649700
TSLA,2018-10-01,305.77,311.44,301.05,310.7,20.7133333333,21777597
TSLA,2018-10-02,313.95,316.84,299.15,301.02,20.068,11743511
TSLA,2018-10-03,303.33,304.6,291.57,294.8,19.6533333333,7994988
TSLA,2018-10-04,293.95,294.0,277.67,281.83,18.7886666667,9814212
TSLA,2018-10-05,274.65,274.88,260.0,261.95,17.4633333333,17944537
TSLA,2018-10-08,264.52,267.76,249.0,250.56,16.704,13472653
TSLA,2018-10-09,255.25,266.77,253.3,262.8,17.52,12060574
TSLA,2018-10-10,264.61,265.51,247.77,256.88,17.1253333333,12815278
TSLA,2018-10-11,257.53,262.25,249.03,252.23,16.8153333333,8167738
TSLA,2018-10-12,261.0,261.99,252.01,258.78,17.252,7201404
TSLA,2018-10-15,259.06,263.28,254.54,259.59,17.306,6199965
TSLA,2018-10-16,265.7,277.38,262.24,276.59,18.4393333333,9526401
TSLA,2018-10-17,282.4,282.7,265.8,271.78,18.1186666667,8655542
TSLA,2018-10-18,269.29,271.0,263.0,263.91,17.594,5421184
TSLA,2018-10-19,267.39,269.66,253.5,260.0,17.3333333333,9375549
TSLA,2018-10-22,260.68,261.86,252.59,260.95,17.3966666667,5600260
TSLA,2018-10-23,263.87,297.93,262.1,294.14,19.6093333333,19027753
TSLA,2018-10-24,301.05,304.44,285.73,288.5,19.2333333333,20058258
TSLA,2018-10-25,317.22,321.0,301.01,314.86,20.9906666667,20840724
TSLA,2018-10-26,308.25,339.9,306.65,330.9,22.06,27425520
TSLA,2018-10-29,337.47,347.16,326.5,334.85,22.3233333333,14486027
TSLA,2018-10-30,328.39,337.9,322.26,329.9,21.9933333333,9126704
TSLA,2018-10-31,332.54,342.0,329.1,337.32,22.488,7624348
TSLA,2018-11-01,338.26,347.84,334.73,344.28,22.952,8000132
TSLA,2018-11-02,343.74,349.2,340.91,346.41,23.094,7807971
TSLA,2018-11-05,340.5,343.96,330.14,341.4,22.76,7831048
TSLA,2018-11-06,339.07,348.8,336.09,341.06,22.7373333333,6762889
TSLA,2018-11-07,343.34,351.18,340.8,348.16,23.2106666667,7374522
TSLA,2018-11-08,348.5,357.58,348.44,351.4,23.4266666667,7090674
TSLA,2018-11-09,349.0,354.0,345.23,350.51,23.3673333333,5098846
